中国移动率先发布5G消息APP：支持iOS/Android,格隆汇5月10日丨 据快科技，经查，由中国移动推出、名为5G消息的APP已在App Store及部分Android应用商店上架，版本1.0.0。安装后，APP会建议将其设为默认的短信应用，同时需要勾选电话、联系人、存储等多项权限。有网友试用后发现，移动甚至会发送订阅新消息应用相关服务的短信（资费0元）。,21:45
一线城市4月楼市成交整体环比上升45%,格隆汇5月10日丨据21财经，数据显示，一线城市4月份楼市成交整体环比上升45%。上海升幅较大，环比上涨高达57%；深圳升幅较小，仅8%；北京、广州升幅相近，均超50%。,21:34
快讯,格隆汇5月10日丨美国白宫经济顾问库德洛：美国5月失业报告将非常艰难。美国白宫和国会就针对新冠肺炎疫情的援助计划进行了非正式会谈。下一份美国就业报告中失业率将接近20%。,21:10
沙特、科威特、阿联酋新冠肺炎新增病例数均创单日新高,格隆汇5月10日丨阿联酋新冠肺炎确诊病例新增781例，累计18198例；死亡病例198例。沙特新冠肺炎确诊病例新增1912例，累计确诊39048例 ；死亡病例累计246例。科威特新冠肺炎确诊病例新增1065例，累计达8688例，死亡病例58例。,21:07
阿联酋新增781例新冠肺炎确诊病例 刷新单日新增最高病例数,格隆汇5月10日丨阿联酋卫生与预防部发布消息，阿联酋新增了781例新冠肺炎确诊病例，刷新了单日新增最高病例数。此外，当天（10日）有13名不同国籍的新冠肺炎患者死亡，死者大都患有既往慢性病，感染新冠肺炎后导致了严重并发症致死。与此同时，阿联酋当日有509名新冠肺炎患者治愈，也创下了单日治愈人数新高。截至目前，阿联酋累计新冠肺炎确诊病例18198例，治愈4804例，死亡198例。,21:04
沙特新冠肺炎确诊病例新增数创单日新高,格隆汇5月10日丨沙特新增1912例新冠肺炎病例，单日增幅创新高，累计确诊39048例 ，死亡病例累计246例。,20:57
云南：筹集100亿元建设“健康云南”,格隆汇5月10日丨据上证报，从正在召开的云南省两会获悉，云南将筹集100亿元资金实施卫生健康事业发展三年行动计划，解决长期以来的传染病救治和疾病防控能力短板，推进“健康云南”建设。云南政府工作报告提出，云南将加快推进区域医疗中心、临床医学中心建设；理顺医药卫生体制，改革疾病预防控制体系，健全重大疫情、公共卫生应急管理和救治体系。,20:51
韩国时隔28天单日新增病例数再次超30例,格隆汇5月10日丨据新华视点，韩国疾病管理本部10日发布的新冠疫情统计数据显示，当地时间9日零时至10日零时，韩国新增34例确诊病例，其中26例为本土感染病例，8例为输入性病例。时隔28天，韩国单日新增病例数再次突破30例。截至10日零时，韩国累计确诊病例10874例，累计死亡256例，累计治愈9610例。,20:42
日本或将提前解除多个地区的紧急状态,格隆汇5月10日丨日本经济再生担当大臣西村康稔在10日举行的记者会上表示，除需采取重点对策的13个“特定警戒都道府县”之外，日本或将提前解除其余34个县中多地的紧急状态，具体情况将在14日前后根据疫情状况进行分析并做出判断。,20:25
快讯,格隆汇5月10日丨荷兰新冠肺炎确诊病例新增245例，累计42627例；死亡病例新增18例，创3月18日以来新低。,19:56
快讯,格隆汇5月10日丨据华尔街日报，特朗普政府正在与包括英特尔公司和台积电在内的芯片制造商商讨在美国建厂。,19:50
工信部：重点支持湖北稳定汽车、电子信息、生物医药等优势产业链 加快推进一批重大项目建设,格隆汇5月10日丨工信部与湖北省委省政府今日上午通过视频连线召开会议，共商统筹用好部省资源，支持湖北做好疫情防控与工业和信息化发展工作。工信部部长苗圩表示，工信部将重点支持湖北稳定汽车、电子信息、生物医药等优势产业链，加快推进一批重大项目建设，推动危化品生产企业搬迁改造和沿江化工企业“搬改关转”，协调加大对中小企业的信贷和资金支持力度，提升5G、工业互联网等新型基础设施建设和应用水平，全力支持湖北工业和信息化加快发展，推动湖北早日全面步入正常轨道。,19:39
科威特新增1065例新冠肺炎确诊病例 单日新增病例数创新高,格隆汇5月10日丨科威特卫生部当地时间10日下午发布通告，确认境内新增1065例新冠肺炎确诊病例，此数据为科威特境内发现新冠肺炎确诊病例以来单日新增病例数最高，也是单日新增病例数首次突破千例。同时新增9例死亡病例，同样为单日最高。,19:31
莱美药业：邱炜所持公司2.91%股份第二次司法拍卖流拍,格隆汇5月10日丨莱美药业公告称，公司持股5%以上股东邱炜持有公司股票2360万股（占公司总股本的2.91%）于5月8日10时至5月9日10时（延时的除外）在淘宝网阿里拍卖网络平台分两单进行第二次公开拍卖。根据淘宝网阿里拍卖网络平台页面显示的拍卖结果，本次司法拍卖流拍。截至本公告披露日，邱炜持有公司股份5297万股，占公司总股本的6.52%，上述被司法拍卖的公司股份数量为2360万股，占公司总股本的2.91%。邱炜所持公司股份已全部被司法冻结。,19:31
海底捞回应创始团队减持：为股东个人安排 经营不受影响,格隆汇5月10日丨近日海底捞创始团队减持股份一事引发关注。5月10日，海底捞方面就此回应新京报记者表示，股东个人在社会公益事业等方面有资金计划和安排，并且股东配售总量小，不代表公司基本面的变化，经营不受影响。而在餐饮业内人士看来，此次海底捞创始团队减持，要结合其此前发布的接班人计划来看，或许是为创始团队再次减持套现，甚至退出做准备。,19:24
南宁面向东盟的区域性数字经济高地加速成型,格隆汇5月10日丨据中新网，为中国—东盟合作枢纽城市的南宁，加快中国—东盟信息港南宁核心基地建设，积极打造连接中国与东盟的“信息丝绸之路”，面向东盟的区域性数字经济高地加速成型。据官方介绍，目前，南宁初步形成五象新区、高新区、青秀区等数字产业集聚区。五象新区的新型智慧城市协同创新中心聚集科大迅飞、华为、云宝宝等20多家企业，广投数字经济示范基地入驻华为人工智能创新中心、广西数字金服等多家数字经济企业。,19:23
浙江杭州：5月18日全市各类幼儿园大班幼儿开学,格隆汇5月10日丨据浙江省杭州市政府新闻办官方微信消息，5月18日，杭州全市各类幼儿园大班幼儿开学；中、小班(托班)幼儿由各地根据实际，安排在5月18日后，一周内有序开学。,19:17
胡春华强调坚决落实“六保”任务 切实抓好农业生产,格隆汇5月10日丨中共中央政治局委员、国务院副总理胡春华5月8日至10日在吉林调研督导春耕和生猪生产工作。他强调，要按照党中央、国务院决策部署，落实“六保”任务抓紧抓实农业生产，全力以赴完成好稳定粮食生产和恢复生猪生产目标任务，确保粮食安全和重要副食品保供稳价。,19:16
快讯,格隆汇5月10日丨消息人士称，沙特阿美去年同意以691亿美元的价格收购沙特基础工业公司70%的股份，但按照目前的市值计算，沙特阿美股份购买计划价值约为400亿美元。沙特阿美将重新评估交易价格。,19:10
嘉实基金：旗下6只基金认购新宙邦201万股非公开发行股票,格隆汇5月10日丨嘉实基金昨日发布公告称，旗下嘉实低价策略股票型证券投资基金、嘉实新收益灵活配置混合型证券投资基金、嘉实新能源新材料股票型证券投资基金、嘉实智能汽车股票型证券投资基金、嘉实环保低碳股票型证券投资基金、嘉实科技创新混合型证券投资基金等6只基金投资新宙邦非公开发行股票。6只基金共认购新宙邦201.15万股，限售期6个月。,19:09
武汉相继开通水上和空中赴日货运直航航线,格隆汇5月10日丨据中新网，一架装载有近十吨货物的奥凯航空BK3209航班，10日下午从武汉天河机场直飞日本大阪关西机场，正式拉开武汉至大阪定期货运航线开通的序幕。武汉至日本集装箱江海直航航线9日也已开航，并实施班轮化运营。武汉水上和空中赴日货运直航航线的相继开通，将有助于推动中日贸易快速发展。,19:00
千亿P2P小牛在线宣布良性退出 目前借贷余额104.2亿,格隆汇5月10日丨据中国基金报，广东最大的P2P平台之一——小牛在线，昨天宣布良性退出。暂缓兑付，待兑付方案经出借人投票表决通过以后，按照方案启动兑付工作。目前其借贷余额104.2亿元。,18:57
吉林舒兰市对所有社区、村(屯)实行封闭管理,格隆汇5月10日丨吉林舒兰市对所有社区、村（屯）实行封闭管理，对所有在舒人员开展地毯式排查，已经复学的高三、初三年级学生恢复网上授课模式，停课不停学。,18:43
中国信登组织信托公司开展标准化监管数据采集报送演练,格隆汇5月10日丨 据中证报，从中国信登获悉，根据中国银保监会明确由中国信登负责采集管理全国信托业标准化监管数据的监管要求，近期，中国信登向全国各信托公司下发《中国信托登记公司关于采集标准化监管数据的通知》，各信托公司应于每月15日前（遇节假日顺延）将监管数据报送至中国信登，并在今年5月15日前完成首期管理类数据报送工作。,18:43
安徽：18个县可盘活利用农村闲置宅基地,格隆汇5月10日丨据新华社，从安徽省农业农村厅获悉，该厅近日印发文件批复，在18个县（市、区）开展农村闲置宅基地和闲置住宅盘活利用试点示范，要突出服务乡村振兴，确保盘活利用产生的土地增值收益全部用于农业农村。据介绍，此次试点示范将坚持守住盘活利用底线、农民主体地位、规划先行和分类指导。其中，安徽省明确要求，充分尊重农民意愿，调动农民参与的积极性和主动性，切实保护农民合法权益，千方百计增加农民收入。,18:31
中石化16条熔喷布生产线全部投产 76天建成全球产能最大熔喷布生产基地,格隆汇5月10日丨据上证报，仪征化纤第12条年产500吨熔喷布生产线已于5月9日18时18分投产成功，这意味着疫情期间中国石化紧急部署的两期16条熔喷布生产线全面建成。加上合资企业7吨产能，中国石化熔喷布日产能达到37吨，合计年产能逾1.35万吨。从2月24日开工建设，到5月9日全面建成，中国石化用76天时间，从无到有，成功建设了全球产能最大的万吨级熔喷布生产基地。,18:29
雄安新区智能城市建设标准体系框架和第一批标准成果发布,格隆汇5月10日丨据雄安发布，雄安新区9日上午召开智能城市建设标准体系框架（1.0版本）和第一批标准成果发布会。河北省委常委、副省长，雄安新区党工委书记、管委会主任陈刚表示，雄安智能城市建设标准体系框架（1.0版本）和第一批标准成果的发布，是雄安新区探索“新型智能城市基础设施+传统城市基础设施”“双基建”模式的重要阶段性成果。下一步，雄安新区将紧紧把握新基建大战略和创新发展大时代的机遇，坚持以标准研究为引领，塑造开放集成的创新生态，把智能城市基础设施与传统城市基础设施同规划、同部署、同实施，实现城市物理空间与数字虚拟空间“双规划”合一、“双基建”同步，加快推进全域智能感知体系、新一代通信网络、城市计算能力、“城市大脑”等智能基础设施建设，打造一批基础设施建设精品工程、典范工程、示范工程，助力城市治理、民生服务和人居生活的融合重构，为城市智能化建设和数字经济发展贡献“雄安方案”。,18:28
李克强对云上2020年中国品牌日活动作重要批示,格隆汇5月10日丨云上2020年中国品牌日活动今日拉开帷幕。中共中央政治局常委、国务院总理李克强对活动作出重要批示。批示指出：加强品牌建设，不断提升中国产品和服务的质量与影响力，是坚定实施扩大内需战略、推动高质量发展的重要方面。各地区、各有关部门要坚持以习近平新时代中国特色社会主义思想为指导，贯彻党中央、国务院决策部署，实施创新驱动发展战略，深入推动大众创业、万众创新，坚持质量第一效益优先，在全社会进一步增强品牌意识，引导企业弘扬专业精神工匠精神，打造更多名优品牌，以更强的竞争力拓展市场空间，更好满足群众消费升级和国家发展的需要。,18:12
美国研究发现：缺乏维生素D与新冠病毒高病死率之间存在很强的相关性,格隆汇5月10日丨由美国西北大学领导的研究小组发现，缺乏维生素D与新冠病毒的高病死率之间存在很强的相关性，意大利、西班牙和英国等高病死率国家的患者普遍维生素D水平较低。,18:09
快讯,格隆汇5月10日丨伊朗累计确诊107603例新冠肺炎病例，死亡病例累计6640例，较上一日增加51例。,17:59
高速公路恢复收费后 多家快递企业相继宣布调整快递价格,格隆汇5月10日丨近日，百世、圆通、韵达、申通、中通快递相继发布公告，将调整高速免费期间实行的快递服务价格优惠幅度。每逢双11、春节假期，为应对成本的变化，快递企业往往都会进行相关的价格调整，以保持正常运营和网络稳定，而对于此次调整价格原因，这些快递企业均表示是因为5月6日凌晨起，全国高速公路恢复收费。,17:53
辽宁沈阳新增1例本土确诊病例,格隆汇5月10日丨5月10日0时至15时，辽宁省新增1例本土新冠肺炎确诊病例，为沈阳市报告病例，属普通型病例。,17:37
荣盛发展：拟分拆子公司荣万家到香港联交所上市,格隆汇5月10日丨荣盛发展公告，公司董事会审议通过了关于公司拟分拆所属荣万家生活服务股份有限公司（以下简称“荣万家”）到境外上市的相关议案。本次公司所属荣万家拟发行境外上市外资股（H股）股票并申请在香港联交所上市。,17:29
董明珠回应格力一季度损失几百亿：经济指标弱了 但品牌力量强了,格隆汇5月10日丨在中央广播电视总台财经节目中心的“我的复工大单”直播活动上，格力电器董事长兼总裁董明珠说，疫情对格力电器来讲同样受到巨大的冲击，我们一个季度就少了几百亿。但是对经济影响不要简单看一个经济指标，在这次疫情当中所销售数据减少，但是我们的品牌力量是加强的。,17:24
创业板在审企业平移安排基本清晰 投行、企业进入实操准备期,格隆汇5月10日丨创业板改革并试点注册制正在紧张推进中，据上证报从券商处了解，创业板在审企业受理安排已基本清晰，各方正在紧锣密鼓准备当中。上证报从投行人士处了解到，在审企业将平稳有序平移，创业板注册制实施之日起10个工作日内，深交所会集中完成在审企业的重新申报。,17:23
海南6月起全面推行“一枚印章管审批”改革,格隆汇5月10日丨据新华社，从海南省政务服务中心获悉，6月起，海南省将在各市县全面推行“一枚印章管审批”制度改革，推动简政放权再提速，进一步优化营商环境。海南推行市县“一枚印章管审批”改革，将除公安部门以外的行政许可事项应划尽划，事项划转比例达95%以上，再通过机构改革设立市县行政审批服务局，进一步统一事项标准，减少审批时限、申报材料、审批流程环节等，以更有效地减少企业和群众花在审批服务上的各项成本。,17:20
武汉市东西湖区风险等级由低风险调整为中风险,格隆汇5月10日丨湖北省公布1例本地新冠肺炎确诊病例。按照国家疫情分区分级标准，将武汉市东西湖区风险等级由低风险调整为中风险。,17:15
顺丰正式杀入外卖领域,格隆汇5月10日丨日前顺丰同城上线了一个“丰食”平台，主打面向企业员工市场的送餐服务。无论是企业团餐还是个人用户，都可以在丰食上下单点外卖。目前，丰食上已有近百家知名餐饮企业入驻，包括必胜客、德克士、真功夫、吉野家、达美乐、云海肴、西贝、周黑鸭等。,17:09
西班牙新冠肺炎确诊病例新增812例,格隆汇5月10日丨西班牙新冠肺炎确诊病例从223578例增至224390例，新增143例死亡病例。,17:02
华大基因：全资子公司核酸检测产品列入WHO应急使用清单,格隆汇5月10日丨华大基因公告，公司全资子公司欧洲医学的新型冠状病毒核酸检测产品于近日被列入为世界卫生组织应急使用清单。,16:57
雄安新区智能城市建设标准体系框架正式发布,格隆汇5月10日丨据新华社消息，雄安新区智能城市标准体系框架（1.0版本）和第一批标准成果日前正式发布。据介绍，雄安新区智能城市建设标准体系框架包含基础设施与感知体系建设、智能化应用、信息安全三大类，共九个方面的智能城市标准体系，规划了近百项标准。首批八项标准成果分别为物联网终端建设导则（道路）、物联网终端建设导则（楼宇）、物联网网络建设导则、5G通信建设导则、建构筑物通信建设导则、数据资源目录设计规范、数据安全建设导则和智慧工地建设导则。,16:49
快讯,格隆汇5月10日丨阿联酋阿布扎比国家石油公司ADNOC6月Murban原油官方售价较普氏迪拜原油价格贴水4.45美元/桶。,16:42
韩国首尔夜店关联病例已增至54例 首尔宣布暂停运营部分娱乐场所,格隆汇5月10日丨韩国中央防疫对策本部10日通报，截至当天中午12时，与首尔梨泰院夜店相关的新冠肺炎确诊感染病例数已升至54例，卫生部门正在就接触人员和感染源继续展开流行病学调查。韩国防疫部门叮嘱，4月底到5月6日之间访问过梨泰院夜店的人员尽量不要外出，应居家隔离或咨询当地保健所，接受病毒检测等。目前，首尔和京畿道均已对所辖地区的夜店、酒吧等娱乐设施下达了“禁止集合”令。,16:41
格力地产：以17.26亿元购买科华生物18.63%的股权,格隆汇5月10日丨格力地产公告，公司全资子公司珠海保联资产管理有限公司拟通过协议方式购买 League Agent (HK) Limited 持有的上海科华生物工程股份有限公司9586.3万股股份（占科华生物总股本的18.63%），购买价格为人民币17.26亿元。,16:21
人民日报：快递柜如此收费 这可是步商业险棋,格隆汇5月10日丨丰巢快递柜收取超时保管费遭多个小区抵制。人民日报发表锐评称，快递柜如此收费，这可是步商业险棋。让用户用得舒心，也让企业以合适方式获取利益，底线是确保消费者的知情权和选择权。,16:21
