排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,詹姆斯-哈登,火箭,34.30,9.90-22.30,44.4%,4.40-12.40,35.5%,10.20-11.80,86.5%,68,36.50
2,布拉德利-比尔,奇才,30.50,10.40-22.90,45.5%,3.00-8.40,35.3%,6.80-8.00,84.2%,57,36.00
3,达米安-利拉德,开拓者,30.00,9.40-20.40,46.3%,4.10-10.20,40.1%,7.00-7.80,88.8%,66,37.50
4,特雷-杨,老鹰,29.60,9.10-20.80,43.7%,3.40-9.50,36.1%,8.00-9.30,86%,60,35.30
5,扬尼斯-阿德托昆博,雄鹿,29.50,10.90-19.60,55.3%,1.40-4.70,30.4%,6.30-10.00,63.3%,63,30.40
6,卢卡-东契奇,独行侠,28.80,9.50-20.60,46.3%,2.80-8.90,31.6%,7.00-9.20,75.8%,61,33.60
7,拉塞尔-威斯布鲁克,火箭,27.20,10.60-22.50,47.2%,1.00-3.70,25.8%,5.10-6.70,76.3%,57,35.90
8,科怀-伦纳德,快船,27.10,9.30-19.90,47%,2.20-5.70,37.8%,6.20-7.10,88.6%,57,32.40
9,德文-布克,太阳,26.60,9.00-18.30,48.9%,2.00-5.70,35.4%,6.70-7.30,91.9%,70,35.90
10,安东尼-戴维斯,湖人,26.10,8.90-17.70,50.3%,1.20-3.50,33%,7.20-8.50,84.6%,62,34.40
11,扎克-拉文,公牛,25.50,9.00-20.00,45%,3.10-8.10,38%,4.50-5.60,80.2%,60,34.80
12,勒布朗-詹姆斯,湖人,25.30,9.60-19.50,49.3%,2.20-6.30,34.8%,3.90-5.70,69.3%,67,34.60
13,多诺万-米切尔,爵士,24.00,8.70-19.50,44.9%,2.50-6.90,36.6%,4.00-4.70,86.3%,69,34.30
14,布兰登-英格拉姆,鹈鹕,23.80,8.20-17.70,46.3%,2.40-6.20,39.1%,5.10-5.90,85.1%,62,33.90
15,杰森-塔特姆,凯尔特人,23.40,8.40-18.60,45%,2.90-7.10,40.3%,3.80-4.70,81.2%,66,34.30
16,帕斯卡尔-西亚卡姆,猛龙,22.90,8.30-18.40,45.3%,2.20-6.10,35.9%,4.00-5.10,79.2%,60,35.20
17,CJ-麦科勒姆,开拓者,22.20,8.70-19.40,45.1%,2.80-7.30,37.9%,2.00-2.60,75.7%,70,36.50
18,德马尔-德罗赞,马刺,22.10,8.20-15.40,53.1%,0.10-0.50,25.7%,5.60-6.60,84.5%,68,34.10
19,达龙-福克斯,国王,21.10,7.70-16.00,48%,1.10-3.60,29.2%,4.70-6.70,70.5%,51,32.00
20,克里斯-米德尔顿,雄鹿,20.90,7.60-15.30,49.7%,2.40-5.70,41.5%,3.30-3.70,91.6%,62,29.90
21,科林-塞克斯顿,骑士,20.80,7.90-16.70,47.2%,1.50-3.90,38%,3.50-4.10,84.6%,65,33.00
22,斯潘塞-丁威迪,篮网,20.60,6.60-15.90,41.5%,1.90-6.20,30.8%,5.40-7.00,77.8%,64,31.20
23,克里斯塔普斯-波尔津吉斯,独行侠,20.40,7.00-16.40,42.7%,2.50-7.10,35.2%,4.00-5.00,79.9%,57,31.80
23,肯巴-沃克,凯尔特人,20.40,6.80-15.90,42.5%,3.20-8.40,38.1%,3.70-4.30,86.4%,56,31.10
25,杰伦-布朗,凯尔特人,20.30,7.50-15.60,48.1%,2.30-5.90,38.2%,3.10-4.30,72.4%,57,33.90
26,博扬-波格丹诺维奇,爵士,20.20,6.60-14.80,44.7%,3.00-7.20,41.4%,4.00-4.40,90.3%,63,33.10
27,尼古拉-约基奇,掘金,19.90,7.70-14.70,52.8%,1.10-3.50,31.4%,3.40-4.10,81.7%,73,32.00
27,吉米-巴特勒,热火,19.90,6.00-13.10,45.5%,0.50-2.00,24.4%,7.60-9.10,83.4%,58,33.80
29,TJ-沃伦,步行者,19.80,8.00-14.90,53.6%,1.40-3.40,40.3%,2.50-3.00,81.9%,67,32.90
30,托拜厄斯-哈里斯,76人,19.60,7.70-16.30,47.1%,1.80-5.00,36.7%,2.40-3.00,80.6%,72,34.30
30,尼古拉-武切维奇,魔术,19.60,8.00-16.70,47.7%,1.60-4.70,33.9%,2.10-2.70,78.4%,62,32.20
32,朱利叶斯-兰德尔,尼克斯,19.50,7.20-15.70,46%,1.00-3.60,27.7%,4.00-5.50,73.3%,64,32.50
33,凯尔-洛瑞,猛龙,19.40,5.80-13.80,41.6%,2.80-8.00,35.2%,5.10-5.90,85.7%,58,36.20
34,巴迪-希尔德,国王,19.20,6.90-16.10,42.9%,3.80-9.60,39.4%,1.60-1.90,84.6%,72,30.80
35,朱-霍勒迪,鹈鹕,19.10,7.50-16.50,45.5%,2.00-5.70,35.3%,2.10-3.00,70.9%,61,34.70
36,谢伊-吉尔杰斯-亚历山大,雷霆,19.00,6.80-14.50,47.1%,1.20-3.60,34.7%,4.10-5.10,80.7%,70,34.70
37,拉马库斯-阿尔德里奇,马刺,18.90,7.40-15.00,49.3%,1.10-3.00,38.9%,3.00-3.60,82.7%,53,33.10
37,丹尼斯-施罗德,雷霆,18.90,7.00-14.90,46.9%,1.90-5.00,38.5%,3.00-3.60,83.9%,65,30.80
39,凯利-乌布雷,太阳,18.70,6.70-14.80,45.2%,1.90-5.50,35.2%,3.40-4.40,78%,56,34.50
39,达尼罗-加里纳利,雷霆,18.70,5.80-13.20,43.8%,2.90-7.10,40.5%,4.30-4.80,89.3%,62,29.60
41,蒙特雷兹-哈勒尔,快船,18.60,7.50-12.90,58%,0.00-0.30,0%,3.70-5.60,65.8%,63,27.80
42,多曼塔斯-萨博尼斯,步行者,18.50,7.40-13.70,54%,0.30-1.10,25.4%,3.50-4.80,72.3%,62,34.80
42,埃文-富尼耶,魔术,18.50,6.60-14.10,46.7%,2.60-6.60,39.9%,2.70-3.30,81.8%,66,31.50
42,贾马尔-默里,掘金,18.50,6.90-15.10,45.6%,1.90-5.50,34.6%,2.80-3.10,88.1%,59,32.30
45,德文特-格雷厄姆,黄蜂,18.20,5.80-15.30,38.2%,3.50-9.30,37.3%,3.00-3.70,82%,63,35.10
45,路易斯-威廉姆斯,快船,18.20,6.00-14.40,41.8%,1.70-4.80,35.2%,4.50-5.20,86.1%,65,28.70
47,德里克-罗斯,活塞,18.10,7.40-15.10,49%,0.90-2.90,30.6%,2.40-2.80,87.1%,50,26.00
48,特里-罗齐尔,黄蜂,18.00,6.30-14.90,42.3%,2.70-6.70,40.7%,2.60-3.00,87.4%,63,34.30
49,贾-莫兰特,灰熊,17.80,6.70-14.00,47.7%,0.90-2.70,33.5%,3.60-4.60,77.6%,67,31.00
50,克里斯-保罗,雷霆,17.60,6.20-12.70,48.9%,1.60-4.30,36.5%,3.60-4.00,90.7%,70,31.50
50,弗雷德-范弗利特,猛龙,17.60,5.90-14.30,41.3%,2.70-6.90,39%,3.10-3.70,84.8%,54,35.70
50,凯文-乐福,骑士,17.60,5.80-13.00,45%,2.60-7.00,37.4%,3.30-3.90,85.4%,56,31.80
53,戈登-海沃德,凯尔特人,17.50,6.70-13.50,50%,1.60-4.30,38.3%,2.40-2.80,85.5%,52,33.50
54,小贾伦-杰克逊,灰熊,17.40,6.20-13.20,46.9%,2.50-6.50,39.4%,2.40-3.30,74.7%,57,28.50
55,马尔科姆-布罗格登,步行者,16.50,6.00-13.80,43.8%,1.40-4.30,32.6%,3.10-3.40,89.2%,54,30.90
56,本-西蒙斯,76人,16.40,6.60-11.40,58%,0.00-0.10,28.6%,3.20-5.20,62.1%,57,35.40
57,狄龙-布鲁克斯,灰熊,16.20,6.00-14.60,40.7%,2.00-5.60,35.8%,2.20-2.80,80.8%,73,28.90
57,戈兰-德拉季奇,热火,16.20,5.40-12.30,44.1%,2.10-5.70,36.7%,3.20-4.20,77.6%,59,28.20
59,诺曼-鲍威尔,猛龙,16.00,5.70-11.50,49.5%,2.10-5.20,39.9%,2.50-2.90,84.3%,52,28.40
60,巴姆-阿德巴约,热火,15.90,6.10-11.00,55.7%,0.00-0.20,14.3%,3.70-5.30,69.1%,72,33.60
61,小蒂姆-哈达威,独行侠,15.80,5.40-12.40,43.4%,2.90-7.20,39.8%,2.10-2.60,81.9%,71,29.50
62,哈桑-怀特塞德,开拓者,15.50,6.50-10.50,62.1%,0.10-0.10,57.1%,2.50-3.60,68.6%,67,30.00
63,戴维斯-贝尔坦斯,奇才,15.40,4.90-11.30,43.4%,3.70-8.70,42.4%,1.90-2.30,85.2%,54,29.30
63,赛尔吉-伊巴卡,猛龙,15.40,6.20-12.20,51.2%,1.30-3.30,38.5%,1.60-2.20,71.8%,55,27.00
63,卡梅罗-安东尼,开拓者,15.40,5.80-13.50,43%,1.50-3.90,38.5%,2.30-2.80,84.5%,58,32.80
66,肯德里克-纳恩,热火,15.30,6.00-13.60,43.9%,2.00-5.80,35%,1.30-1.50,85%,67,29.30
66,JJ-雷迪克,鹈鹕,15.30,4.80-10.50,45.3%,3.00-6.60,45.3%,2.80-3.10,89.2%,60,26.40
68,鲁迪-戈贝尔,爵士,15.10,5.70-8.20,69.3%,0.00-0.00,0%,3.70-5.90,63%,68,34.30
68,波格丹-波格丹诺维奇,国王,15.10,5.50-12.60,44%,2.70-7.20,37.2%,1.40-1.90,74.1%,61,29.00
68,威尔-巴顿,掘金,15.10,5.70-12.70,45%,1.90-5.00,37.5%,1.80-2.30,76.7%,58,33.00
71,约纳斯-瓦兰丘纳斯,灰熊,14.90,6.20-10.60,58.5%,0.50-1.30,35.2%,2.10-2.90,74%,70,26.40
71,埃里克-布莱索,雄鹿,14.90,5.50-11.50,47.5%,1.20-3.50,34.4%,2.80-3.50,79%,61,27.00
73,特伦斯-罗斯,魔术,14.70,4.90-12.30,40.3%,2.60-7.30,35.1%,2.30-2.70,85.3%,69,27.40
73,劳里-马尔卡宁,公牛,14.70,5.00-11.80,42.5%,2.20-6.30,34.4%,2.50-3.10,82.4%,50,29.80
75,乔-哈里斯,篮网,14.50,5.50-11.40,48.6%,2.50-5.90,42.4%,0.90-1.30,71.9%,69,30.80
75,哈里森-巴恩斯,国王,14.50,5.10-11.00,46%,1.40-3.70,38.1%,3.00-3.70,80.1%,72,34.50
77,阿龙-戈登,魔术,14.40,5.40-12.40,43.7%,1.20-3.80,30.8%,2.40-3.60,67.4%,62,32.50
78,RJ-巴雷特,尼克斯,14.30,5.20-13.00,40.2%,1.10-3.50,32%,2.80-4.50,61.4%,56,30.40
79,埃里克-帕斯卡尔,勇士,14.00,5.30-10.70,49.7%,0.60-2.20,28.7%,2.70-3.50,77.4%,60,27.60
80,约什-理查德森,76人,13.70,5.00-11.80,43%,1.50-4.50,34.1%,2.10-2.60,80.9%,55,30.80
81,邓肯-罗宾逊,热火,13.50,4.40-9.40,47%,3.70-8.30,44.6%,0.90-1.00,93.1%,73,29.70
81,泰勒-希罗,热火,13.50,4.90-11.50,42.8%,2.10-5.40,38.9%,1.60-1.80,87%,55,27.40
83,科比-怀特,公牛,13.20,4.80-12.20,39.4%,2.00-5.80,35.4%,1.60-2.00,79.1%,65,25.80
84,克里斯蒂安-伍德,活塞,13.10,4.70-8.20,56.7%,0.90-2.30,38.6%,2.90-3.90,74.4%,62,21.40
85,里基-卢比奥,太阳,13.00,4.40-10.60,41.5%,1.20-3.30,36.1%,3.00-3.50,86.3%,65,31.00
85,迈尔斯-布里奇斯,黄蜂,13.00,4.90-11.60,42.4%,1.50-4.60,33%,1.60-2.00,80.9%,65,30.70
87,马库斯-斯马特,凯尔特人,12.90,4.30-11.40,37.5%,2.30-6.60,34.7%,2.10-2.50,83.6%,60,32.00
88,凯尔-库兹马,湖人,12.80,4.80-10.90,43.6%,1.40-4.50,31.6%,1.90-2.50,73.5%,61,25.00
89,达米恩-李,勇士,12.70,4.30-10.40,41.7%,1.70-4.90,35.6%,2.20-2.60,87.3%,49,29.00
90,塞思-库里,独行侠,12.40,4.40-9.00,49.5%,2.30-5.00,45.2%,1.20-1.50,82.5%,64,24.60
91,德安德烈-亨特,老鹰,12.30,4.40-10.80,41%,1.70-4.80,35.5%,1.80-2.30,76.4%,63,32.00
91,达里厄斯-加兰,骑士,12.30,4.80-11.90,40.1%,1.80-5.00,35.5%,1.10-1.20,87.5%,59,30.90
93,凯文-赫尔特,老鹰,12.20,4.50-10.90,41.3%,2.30-6.00,38%,0.90-1.10,82.8%,56,31.40
93,PJ-华盛顿,黄蜂,12.20,4.60-10.20,45.5%,1.50-4.00,37.4%,1.50-2.30,64.7%,58,30.30
95,迈尔斯-特纳,步行者,12.10,4.30-9.50,45.7%,1.40-4.00,34.4%,2.00-2.70,75.1%,62,29.50
95,布兰登-克拉克,灰熊,12.10,5.10-8.30,61.8%,0.40-1.10,35.9%,1.50-1.90,75.9%,58,22.40
95,托里恩-普林斯,篮网,12.10,4.30-11.60,37.6%,2.30-6.70,33.9%,1.10-1.40,79.8%,64,29.00
95,马克尔-富尔茨,魔术,12.10,5.00-10.70,46.5%,0.50-1.90,26.7%,1.60-2.20,73%,72,27.70
99,布鲁克-洛佩斯,雄鹿,12.00,4.30-9.90,43.5%,1.50-4.80,31.4%,1.90-2.20,83.6%,68,26.70
99,特里斯坦-汤普森,骑士,12.00,5.00-9.90,51.2%,0.20-0.40,39.1%,1.70-2.80,61.5%,57,30.20
99,杰拉米-格兰特,掘金,12.00,4.30-8.90,47.8%,1.40-3.50,38.9%,2.10-2.80,75%,71,26.60
102,艾尔-霍福德,76人,11.90,4.80-10.60,45%,1.50-4.20,35%,0.90-1.20,76.3%,67,30.20
103,朗佐-鲍尔,鹈鹕,11.80,4.40-10.90,40.3%,2.30-6.30,37.5%,0.70-1.20,56.6%,63,32.10
104,帕蒂-米尔斯,马刺,11.60,3.90-9.10,43.1%,2.30-6.10,38.2%,1.50-1.70,86.6%,66,22.50
105,内马尼亚-别利察,国王,11.50,4.40-9.10,48.1%,1.90-4.40,41.9%,1.00-1.20,82.1%,72,27.90
106,德里克-怀特,马刺,11.30,3.70-8.10,45.8%,1.20-3.20,36.6%,2.70-3.10,85.3%,68,24.70
107,布林-福布斯,马刺,11.20,3.80-9.20,41.7%,2.30-6.10,38.8%,1.20-1.40,83.3%,63,25.10
108,贾勒特-阿伦,篮网,11.10,4.30-6.60,64.9%,0.00-0.10,0%,2.40-3.90,63.3%,70,26.50
108,科迪-泽勒,黄蜂,11.10,4.30-8.30,52.4%,0.30-1.30,24%,2.10-3.10,68.2%,58,23.10
110,切迪-奥斯曼,骑士,11.00,4.10-9.40,43.7%,1.90-4.90,38.3%,1.00-1.50,67%,65,29.40
111,伊斯梅尔-史密斯,奇才,10.90,4.50-10.10,44.7%,0.90-2.50,36.7%,0.90-1.30,72.1%,68,26.30
111,德章泰-默里,马刺,10.90,4.50-9.60,46.2%,0.60-1.70,36.9%,1.40-1.70,79.8%,66,25.60
111,史蒂文-亚当斯,雷霆,10.90,4.50-7.60,59.2%,0.00-0.10,33.3%,1.90-3.20,58.2%,63,26.70
114,鲁迪-盖伊,马刺,10.80,4.00-8.90,44.6%,1.10-3.30,33.6%,1.80-2.00,88.2%,67,21.80
115,达里奥-沙里奇,太阳,10.70,3.90-8.10,47.6%,1.30-3.60,35.7%,1.60-1.90,84.4%,66,24.70
116,OG-阿奴诺比,猛龙,10.60,4.10-8.20,50.5%,1.30-3.30,39%,1.00-1.50,70.6%,69,29.90
117,卡姆-雷迪什,老鹰,10.50,3.70-9.60,38.4%,1.40-4.30,33.2%,1.70-2.20,80.2%,58,26.70
117,DJ-奥古斯丁,魔术,10.50,3.20-8.10,39.9%,1.20-3.50,34.8%,2.80-3.20,89%,57,24.90
117,丹纽尔-豪斯,火箭,10.50,3.60-8.60,42.7%,2.00-5.60,36.3%,1.20-1.40,81.1%,63,30.40
120,加里-哈里斯,掘金,10.40,3.90-9.30,42%,1.20-3.80,33.3%,1.30-1.60,81.5%,56,31.80
120,特洛伊-布朗,奇才,10.40,4.00-9.00,43.9%,0.90-2.60,34.1%,1.60-2.00,78.4%,69,25.80
122,兰斯顿-加洛韦,活塞,10.30,3.60-8.20,43.5%,2.00-5.00,39.9%,1.10-1.30,85.9%,66,25.80
122,赛迪斯-杨,公牛,10.30,4.20-9.40,44.8%,1.20-3.50,35.6%,0.70-1.10,58.3%,64,24.90
122,马利克-蒙克,黄蜂,10.30,3.90-8.90,43.4%,1.00-3.70,28.4%,1.50-1.80,82%,55,21.30
122,加莱特-坦普尔,篮网,10.30,3.60-9.50,37.8%,2.00-6.20,32.9%,1.10-1.40,80.5%,62,27.90
122,道格-麦克德莫特,步行者,10.30,3.90-7.90,48.8%,1.90-4.30,43.5%,0.70-0.80,82.8%,69,19.90
127,本-麦克勒摩,火箭,10.10,3.40-7.70,44.4%,2.50-6.40,40%,0.70-0.90,74.6%,71,22.80
127,约什-哈特,鹈鹕,10.10,3.50-8.20,42.3%,1.90-5.40,34.2%,1.30-1.80,73.9%,65,27.00
127,博比-波蒂斯,尼克斯,10.10,4.00-8.90,45%,1.00-2.80,35.8%,1.10-1.40,76.3%,66,21.10
127,小拉里-南斯,骑士,10.10,4.10-7.70,53.1%,1.00-2.80,35.2%,0.90-1.30,67.6%,56,26.30
131,小凯文-波特,骑士,10.00,3.70-8.40,44.2%,1.10-3.20,33.5%,1.50-2.00,72.3%,50,23.20
132,托马什-萨托兰斯基,公牛,9.90,3.60-8.50,43%,1.00-3.10,32.2%,1.60-1.90,87.6%,65,28.90
133,乔-英格尔斯,爵士,9.80,3.40-7.70,44.5%,2.00-4.90,39.9%,1.00-1.30,78.7%,72,29.70
133,富尔坎-科尔克马兹,76人,9.80,3.40-7.80,43%,2.00-4.90,40.2%,1.10-1.40,75.5%,72,21.70
135,米切尔-罗宾逊,尼克斯,9.70,4.20-5.60,74.2%,0.00-0.00,0%,1.40-2.40,56.8%,61,23.10
136,多里安-芬尼-史密斯,独行侠,9.50,3.40-7.30,46.6%,1.60-4.30,37.6%,1.10-1.50,72.2%,71,29.90
136,阿龙-霍勒迪,步行者,9.50,3.50-8.50,41.4%,1.30-3.30,39.4%,1.10-1.30,85.1%,66,24.50
138,乔治-希尔,雄鹿,9.40,3.30-6.40,51.6%,1.40-3.00,46%,1.40-1.70,84.2%,59,21.50
139,小迈克尔-波特,掘金,9.30,3.50-7.00,50.9%,1.10-2.70,42.2%,1.10-1.30,83.3%,55,16.40
139,马基斯-克里斯,勇士,9.30,3.60-6.50,54.5%,0.10-0.70,20.5%,2.00-2.60,76.9%,59,20.30
139,兰德里-沙梅特,快船,9.30,3.00-7.40,40.4%,2.10-5.60,37.5%,1.20-1.40,85.5%,53,27.40
139,肯塔维厄斯-考德威尔-波普,湖人,9.30,3.40-7.30,46.7%,1.30-3.50,38.5%,1.10-1.50,77.5%,69,25.50
143,丹尼尔-泰斯,凯尔特人,9.20,3.70-6.60,56.6%,0.50-1.50,33.3%,1.30-1.80,76.3%,65,24.10
143,贾勒特-卡尔弗,森林狼,9.20,3.60-9.00,40.4%,1.00-3.50,29.9%,0.90-1.90,46.2%,63,23.90
143,唐特-迪温琴佐,雄鹿,9.20,3.50-7.70,45.5%,1.30-3.70,33.6%,0.90-1.30,73.3%,66,23.00
146,马克西-克勒贝尔,独行侠,9.10,3.20-6.90,46.1%,1.60-4.30,37.3%,1.10-1.30,84.9%,74,25.50
146,米卡尔-布里奇斯,太阳,9.10,3.40-6.60,51%,1.00-2.70,36.1%,1.40-1.70,84.4%,73,28.00
148,斯维亚托斯拉夫-米哈伊柳克,活塞,9.00,3.00-7.20,41%,2.00-5.10,40.4%,1.00-1.20,81.4%,56,22.60
148,德里克-费沃斯,鹈鹕,9.00,4.10-6.70,61.7%,0.00-0.10,14.3%,0.80-1.40,56.3%,51,24.40
148,蒙特-莫里斯,掘金,9.00,3.60-7.80,45.9%,0.90-2.40,37.8%,1.00-1.20,84.3%,73,22.40
