q5_01,q5_02,q5_03,q5_04,q5_05,q5_06,q5_07,q5_08,q5_09,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q8,w1,w2,w6
3,3,4,5,5,5,4,5,3,4,4,4,3,4,5,5,2,3,4,4,9,1,4,1
5,4,5,5,5,5,5,4,4,4,4,3,4,4,5,5,5,4,4,5,9,1,5,1
5,5,5,5,1,1,4,1,1,1,5,1,1,5,5,1,1,5,1,1,9,2,2,8
3,5,5,1,1,1,4,5,4,4,4,2,3,4,3,4,4,1,1,5,9,1,4,11
5,4,2,2,3,4,4,3,4,3,2,5,3,2,3,4,3,4,5,3,9,1,4,11
5,5,4,3,1,3,4,4,3,3,2,2,2,3,3,5,1,3,1,5,9,2,3,10
5,5,3,2,2,2,5,4,3,5,4,4,2,5,5,5,2,4,5,3,9,2,3,10
4,5,5,1,1,2,5,3,5,1,4,5,3,4,5,2,1,3,3,4,9,2,4,9
4,3,4,5,3,4,4,3,4,4,4,4,4,4,4,3,2,3,2,3,9,2,3,11
5,5,4,2,1,3,2,2,5,3,1,1,4,5,5,5,2,2,4,4,9,1,5,10
4,3,5,4,1,4,3,5,3,4,5,2,2,5,5,5,2,5,2,2,9,1,3,99
4,3,4,2,2,3,4,3,4,3,5,5,4,4,3,2,3,2,3,2,9,2,3,9
5,5,5,5,3,5,5,4,5,5,5,4,4,4,5,5,2,3,4,5,9,1,2,1
2,5,5,1,1,1,1,5,5,5,4,5,5,5,4,5,3,2,4,5,9,1,6,10
5,5,5,1,4,5,5,3,5,5,5,5,4,5,5,5,1,5,5,5,9,1,3,1
5,4,5,2,5,5,4,5,3,5,5,2,5,2,5,4,2,2,1,1,9,1,3,1
3,4,5,4,4,1,5,1,1,5,5,2,1,1,3,4,2,3,3,4,9,1,3,6
5,5,5,5,4,3,4,3,4,5,2,4,3,4,3,3,4,3,4,3,9,2,3,1
5,5,5,4,4,4,4,5,5,4,4,3,4,4,4,1,1,1,1,1,9,2,3,10
5,5,4,4,1,5,5,5,5,4,5,1,5,5,4,4,4,2,2,1,9,2,4,10
3,3,3,1,1,1,1,3,3,3,1,1,3,1,1,3,1,1,3,1,9,2,3,9
5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,5,9,2,3,8
4,4,5,3,1,5,4,4,5,5,5,1,5,4,4,5,5,3,3,5,9,2,2,11
5,5,4,5,5,5,1,5,1,3,1,1,5,4,4,5,1,1,1,4,9,2,3,7
4,5,5,1,1,1,5,1,5,4,5,1,1,4,5,5,5,5,5,5,9,2,3,9
4,4,5,4,3,4,5,2,4,5,5,4,2,5,5,5,1,4,2,4,9,2,3,8
5,4,4,3,3,4,4,5,5,3,3,2,3,5,5,5,5,4,5,5,9,2,4,9
4,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,4,9,2,3,9
1,1,4,4,4,1,1,1,1,4,1,1,4,1,2,4,1,2,2,4,9,1,6,11
5,4,5,5,5,5,5,5,5,4,2,4,3,5,4,5,4,4,4,4,9,1,5,10
4,3,3,2,2,1,5,2,4,1,3,3,5,1,4,5,4,3,3,2,9,1,3,8
4,3,5,5,2,4,5,5,5,4,5,4,5,5,4,4,1,2,2,1,9,2,1,9
3,2,2,2,2,2,3,3,3,3,4,3,4,3,4,4,2,3,3,4,9,2,3,7
5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,4,2,5,4,5,9,2,3,9
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,9,2,2,9
5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,5,9,2,3,13
5,5,5,5,1,5,4,4,4,5,5,5,5,4,5,3,1,3,3,3,9,2,2,9
5,5,4,5,4,5,5,4,5,4,2,5,2,5,5,4,5,2,2,5,9,2,4,8
4,4,4,3,3,2,1,2,4,3,2,1,2,3,4,4,2,3,3,4,9,1,4,8
2,3,4,3,3,2,1,4,2,3,1,4,4,1,5,2,1,3,4,4,9,2,3,7
4,5,4,2,2,2,3,3,4,5,3,2,3,3,5,5,3,2,2,2,9,2,6,10
5,5,5,4,1,5,5,4,1,5,5,1,5,1,1,4,1,1,1,1,9,2,4,8
2,2,1,5,2,5,4,2,5,1,4,1,5,2,3,5,1,4,4,3,9,2,3,6
2,2,5,5,5,1,4,4,3,5,5,2,5,5,5,4,1,2,3,4,9,2,4,10
4,4,4,4,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,4,9,2,3,9
4,4,5,2,2,2,5,4,4,5,5,4,5,4,5,5,1,4,4,1,9,2,3,9
5,5,5,5,5,5,5,5,5,3,3,3,2,3,5,5,4,3,4,4,9,2,3,9
4,4,5,4,1,5,5,4,5,3,3,4,4,5,3,4,4,1,4,5,9,2,2,4
4,5,1,5,5,1,4,3,5,4,1,3,5,4,1,1,4,4,4,5,9,2,2,1
5,5,4,5,1,5,5,1,4,4,4,1,5,4,1,5,1,1,4,4,9,2,3,8
4,4,3,2,2,2,3,5,5,5,5,3,4,5,5,3,1,2,5,4,9,2,2,6
4,3,3,2,1,2,4,4,1,4,5,1,1,2,3,1,1,2,1,1,9,2,3,7
5,5,5,1,1,4,4,2,4,5,4,2,4,4,5,5,3,3,3,5,9,2,4,9
5,5,5,4,2,5,5,4,5,5,5,4,4,5,4,4,3,4,3,3,9,2,2,9
4,5,5,1,5,5,3,5,5,5,4,4,4,4,5,5,5,5,5,5,9,2,2,8
4,3,3,2,5,2,4,2,2,3,3,2,2,2,4,2,1,2,2,2,9,2,2,8
2,3,3,5,4,1,2,1,4,3,1,2,1,5,2,3,4,4,2,3,9,1,3,1
5,5,5,2,5,1,3,4,1,4,4,3,2,2,3,4,5,4,4,3,9,1,3,2
5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,9,2,2,8
5,3,5,5,2,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,9,2,3,9
2,2,5,1,1,2,2,5,2,5,5,3,2,5,5,5,1,1,1,1,9,2,2,6
1,1,3,1,1,1,3,4,4,4,5,1,1,1,1,5,1,2,1,5,9,2,2,6
4,4,3,5,1,3,5,1,3,4,4,4,3,4,5,5,5,5,3,5,9,2,2,7
4,3,4,5,4,5,4,4,4,4,5,4,3,5,4,4,4,3,4,3,9,2,3,7
4,4,4,3,1,5,5,4,3,3,3,1,4,5,5,4,2,1,2,1,9,2,2,7
5,4,5,4,1,5,5,2,5,5,5,3,3,5,3,5,5,3,4,3,9,2,2,9
4,3,2,3,3,1,4,2,1,4,3,3,4,4,4,3,3,3,4,3,9,1,5,1
4,4,4,2,1,1,4,4,1,4,1,1,3,1,5,1,1,4,1,3,9,1,3,1
3,3,5,3,1,5,5,1,4,4,5,3,2,5,5,5,1,1,4,3,9,2,2,1
4,3,1,1,1,1,1,3,4,4,3,1,1,1,1,2,1,1,4,2,9,2,3,7
4,5,4,5,5,5,4,5,4,4,4,4,4,4,4,3,1,3,1,1,9,2,3,5
4,4,5,3,2,4,4,5,5,4,4,1,2,5,5,4,1,1,4,3,9,2,3,7
4,3,4,3,1,4,4,2,3,4,4,4,4,2,4,4,4,4,3,3,9,2,2,7
3,3,3,3,3,3,2,2,4,4,1,1,1,4,3,4,1,1,2,3,9,2,3,7
5,5,5,2,5,2,4,3,5,4,4,4,4,4,4,1,1,1,1,2,9,1,4,1
5,5,5,5,4,1,2,3,1,2,5,2,5,1,5,5,5,4,2,5,9,1,5,5
4,5,5,5,1,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,9,1,5,6
5,2,3,5,5,5,1,1,5,5,5,5,1,4,4,4,4,1,1,5,9,2,3,9
5,5,4,3,2,1,5,5,3,4,4,3,5,3,5,5,4,4,3,3,9,2,2,7
2,5,2,3,1,2,1,1,3,2,5,3,4,5,1,1,1,1,1,1,9,2,3,9
5,5,5,5,2,4,4,4,4,4,4,3,4,4,4,1,1,1,1,2,9,2,3,6
4,3,4,4,2,4,5,5,4,5,3,2,5,5,5,3,2,3,4,3,9,2,2,6
3,5,4,3,4,1,1,1,4,4,5,3,4,5,5,4,3,4,2,3,9,2,2,6
4,2,3,5,5,1,5,4,3,4,5,2,3,2,3,4,1,1,1,1,9,1,3,1
3,4,5,5,2,2,2,2,2,3,5,3,2,2,3,3,1,3,3,3,9,2,1,5
1,1,5,3,1,1,4,1,4,4,4,4,5,5,5,5,1,1,1,1,9,2,3,7
5,5,4,5,4,5,4,3,5,4,4,5,4,4,5,3,3,4,2,4,9,2,2,2
3,3,4,3,2,1,1,4,4,4,3,3,3,3,4,4,3,4,3,3,9,2,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,9,2,3,3
5,3,4,2,3,2,3,4,2,2,1,2,1,3,3,4,3,2,1,1,9,2,5,9
3,2,4,3,2,3,2,4,2,5,4,4,3,4,3,2,3,4,5,3,9,2,3,1
5,5,5,4,4,4,5,4,3,5,5,4,2,2,5,5,4,4,4,3,9,1,4,1
1,1,5,2,1,2,2,1,1,4,3,1,1,1,4,4,1,1,1,1,9,2,6,10
5,5,4,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,9,2,7,11
3,3,3,3,3,2,4,4,3,2,2,3,4,4,4,4,1,3,3,4,9,1,6,11
5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,9,2,3,7
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,5,9,1,3,7
4,5,5,4,4,5,4,4,5,4,4,3,4,4,4,2,1,2,2,2,9,2,2,6
5,5,5,4,4,3,3,4,4,4,5,5,4,4,3,1,1,1,3,3,9,2,3,6
3,4,4,2,2,3,4,3,5,5,3,2,5,4,3,3,2,4,3,2,9,2,2,5
5,5,5,5,1,2,5,5,5,3,5,3,3,3,5,5,3,4,4,5,9,2,3,11
4,3,3,4,4,1,5,4,3,2,2,2,3,2,4,5,5,2,3,5,9,1,3,10
5,5,5,4,4,4,3,4,4,3,5,4,3,4,5,3,2,4,3,4,9,2,5,11
5,4,4,5,4,4,5,3,4,3,2,4,3,4,3,4,4,3,2,2,9,2,5,16
5,2,5,2,1,2,5,2,5,5,5,3,3,3,5,5,4,2,4,3,9,1,4,10
5,5,5,2,4,3,5,3,4,4,5,3,4,5,3,5,4,3,4,2,9,2,2,8
4,4,5,5,4,5,4,5,4,4,2,2,2,5,5,5,4,3,5,1,9,1,5,1
5,4,4,5,5,5,4,5,4,4,3,3,3,4,5,2,2,3,5,1,9,2,3,8
5,5,5,1,1,1,1,5,5,4,4,3,5,1,5,4,3,5,4,5,9,2,3,10
5,4,3,4,3,4,5,5,4,4,4,5,5,5,5,4,3,4,4,3,9,2,4,12
4,5,5,4,2,4,3,2,3,5,5,4,5,5,5,4,5,4,1,1,9,2,1,5
4,4,5,4,1,4,3,5,4,3,4,4,5,4,5,3,1,1,1,3,9,2,2,9
3,4,3,4,1,5,1,4,5,1,3,1,2,3,2,3,2,1,3,1,9,2,3,11
4,4,4,3,1,5,5,5,3,2,5,4,5,3,2,5,1,2,1,2,9,2,2,6
5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,4,4,5,3,2,9,2,3,9
5,5,5,4,4,3,5,5,5,4,4,4,4,4,4,1,1,1,1,3,9,2,2,6
4,4,5,5,1,5,4,5,4,3,4,5,4,5,5,5,4,4,3,4,9,2,3,8
4,4,3,1,1,4,4,5,4,4,5,4,2,5,4,5,3,3,3,2,9,2,3,1
1,5,5,5,1,5,5,1,1,5,1,4,1,5,5,3,1,5,5,1,9,2,2,8
3,3,5,1,1,1,5,5,5,5,5,5,2,2,5,5,1,5,5,5,9,2,2,7
5,5,2,5,1,1,4,3,1,4,4,2,1,1,5,5,2,4,4,5,9,1,3,11
3,4,5,5,2,4,1,4,4,4,4,4,2,2,3,4,5,3,2,2,9,2,3,10
5,5,5,2,1,3,1,5,5,5,5,1,5,5,5,5,1,4,5,5,9,2,2,8
1,4,4,1,1,5,5,5,5,5,4,5,4,5,5,3,1,5,5,1,9,2,2,4
4,4,3,3,4,2,4,5,4,2,1,2,5,3,4,4,2,2,3,4,9,2,3,9
5,5,5,4,4,4,4,5,3,5,5,4,5,1,4,5,1,2,2,2,9,2,1,6
4,5,5,5,5,5,5,4,4,5,5,4,5,5,4,4,4,4,4,5,9,1,3,7
5,5,5,5,1,1,2,1,2,5,5,5,4,4,4,3,3,5,3,4,9,2,4,13
5,5,5,4,4,5,4,5,5,5,5,4,2,5,4,4,3,4,4,4,9,2,3,13
5,5,5,3,3,5,5,4,5,4,5,3,4,5,4,5,2,2,2,4,9,2,3,10
2,5,5,4,3,5,5,5,5,2,5,4,5,5,5,4,5,4,3,5,9,1,2,7
3,2,5,1,1,3,3,3,3,3,3,3,5,5,2,5,5,3,3,3,9,2,2,7
3,4,3,1,4,3,4,4,5,5,5,2,4,5,4,4,3,2,2,3,9,2,2,7
4,5,4,5,4,5,5,4,3,3,4,4,3,3,5,3,1,2,2,2,9,2,2,1
3,4,3,5,4,3,1,3,5,4,3,3,4,5,4,4,4,4,3,4,9,2,5,10
5,4,3,4,1,4,1,1,1,4,5,1,5,4,4,1,1,5,5,5,9,1,3,9
5,5,5,3,3,5,4,4,5,4,4,4,3,5,5,1,1,1,3,4,9,1,5,7
5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,5,4,4,9,2,3,9
3,2,4,4,5,3,5,5,4,2,2,1,2,2,3,3,2,3,5,2,9,2,3,10
4,5,3,4,4,1,5,3,1,3,3,3,3,1,1,5,3,5,4,4,9,1,5,1
5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,1,5,1,9,2,3,7
4,5,5,3,3,4,5,4,3,2,5,4,3,3,2,5,4,4,3,4,9,2,4,13
4,4,5,5,4,5,5,4,4,5,5,4,4,4,5,5,2,3,4,4,9,2,2,11
4,5,3,3,3,4,4,5,5,5,5,3,4,4,5,2,4,4,5,3,9,2,5,9
5,5,4,5,5,4,5,4,3,4,4,3,5,4,4,5,4,4,5,5,9,1,2,9
5,5,1,3,3,1,1,5,5,5,5,5,5,5,5,5,1,1,3,1,9,1,5,10
2,1,5,5,1,5,3,4,2,5,5,5,4,5,4,5,4,4,4,5,9,2,2,5
3,2,2,2,2,3,2,2,4,5,3,2,2,5,5,2,2,1,2,2,9,2,2,99
5,5,5,1,5,3,5,5,3,4,4,4,3,5,5,4,2,2,2,4,9,2,6,12
5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,1,3,4,4,9,2,2,8
4,4,5,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,5,2,9,2,3,8
4,4,5,5,1,5,1,1,1,4,1,1,1,1,5,5,1,1,1,1,9,2,3,7
5,5,3,1,1,1,1,5,5,5,4,5,5,1,5,3,1,4,3,3,9,2,3,6
3,4,5,4,3,4,4,5,5,4,5,4,5,5,5,4,1,4,3,2,9,2,2,7
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,2,5
3,2,4,4,4,5,4,3,3,4,2,3,2,3,4,5,5,5,5,5,9,1,5,1
5,5,5,5,2,2,4,4,4,5,4,4,3,3,5,5,1,2,2,4,9,2,2,2
5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,9,2,5,12
4,2,3,4,1,3,2,5,4,5,3,4,5,4,2,3,4,3,2,5,9,2,3,9
4,4,4,5,5,5,5,5,4,4,1,5,4,5,4,4,5,5,5,5,9,1,5,9
1,5,5,5,1,5,5,1,3,5,3,4,1,5,5,4,2,5,5,1,9,2,2,1
4,5,4,3,5,4,4,5,3,4,4,5,4,4,4,5,1,4,1,4,9,2,2,9
4,5,5,4,1,5,5,4,4,5,4,5,5,3,3,4,4,1,3,5,9,2,2,8
5,5,5,3,3,3,4,3,2,4,4,4,3,2,4,4,5,5,4,5,9,1,5,1
2,2,2,1,1,1,1,2,5,5,4,3,4,5,5,1,1,1,1,1,9,2,2,7
4,4,3,4,5,5,4,2,3,4,3,4,3,5,5,5,4,4,5,3,9,2,2,7
3,3,4,5,2,5,4,1,5,5,5,4,4,5,5,2,1,1,2,2,9,2,2,7
4,3,2,1,1,2,2,3,3,1,1,1,1,4,4,4,4,3,4,4,9,2,3,9
4,4,4,3,3,3,4,2,4,4,4,3,2,4,4,2,1,2,2,1,9,2,2,7
5,5,5,5,5,4,3,4,4,5,5,4,5,4,5,5,5,3,4,3,9,2,3,7
5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,2,1,5,9,2,6,11
5,5,5,5,5,5,4,5,5,5,5,2,5,5,4,5,1,2,3,4,9,2,7,13
1,4,5,1,1,1,1,5,1,5,5,1,5,4,4,4,1,1,1,5,9,2,2,6
4,4,3,4,1,4,2,2,4,3,2,3,1,3,2,4,2,3,4,5,9,1,6,12
3,5,5,4,1,5,5,5,5,2,5,5,4,5,2,5,5,5,5,5,9,2,3,11
4,5,5,2,2,2,1,5,1,4,5,3,1,1,3,2,5,4,2,3,9,2,2,9
2,2,2,1,1,4,3,1,3,3,1,1,5,3,3,4,1,1,1,1,9,2,2,5
3,2,4,5,2,3,5,4,5,4,5,3,4,2,4,5,4,3,2,4,9,2,2,8
3,3,3,2,2,2,2,2,2,2,5,1,5,2,4,2,1,3,1,2,9,2,2,9
5,5,5,5,3,4,5,3,5,3,5,5,5,4,4,1,5,5,5,5,9,1,3,10
4,3,5,3,1,1,4,5,1,1,5,4,3,5,5,5,1,2,3,4,9,2,5,13
3,2,5,1,1,1,1,1,1,5,5,1,5,5,5,4,5,5,5,5,9,1,5,11
2,4,4,1,1,2,3,2,5,4,4,1,2,4,5,3,1,1,2,3,9,2,4,9
2,2,4,4,2,2,2,3,4,4,1,1,2,5,3,1,1,1,2,3,9,2,3,7
4,5,5,1,1,5,5,5,4,5,5,5,1,4,5,5,1,3,2,1,9,2,3,8
4,4,5,5,5,5,4,2,5,5,3,3,4,5,5,4,3,5,5,5,9,1,3,1
3,4,3,5,3,2,4,3,5,3,2,1,3,5,5,3,4,3,2,4,9,2,3,1
5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1,4,5,9,2,5,16
4,4,5,4,4,4,2,4,5,3,3,2,4,5,1,1,1,3,2,2,9,1,3,4
1,3,2,1,1,1,2,2,3,3,3,2,2,2,3,3,1,5,1,4,9,2,3,1
1,1,4,3,3,3,1,4,1,3,4,1,2,1,1,2,1,2,2,4,9,2,5,9
3,4,3,1,1,1,4,3,3,3,3,3,3,2,3,3,1,3,3,3,9,2,2,8
4,4,5,4,4,4,4,3,3,4,5,4,5,4,4,3,3,2,2,2,9,2,2,6
3,4,4,4,4,4,4,5,4,4,3,2,4,3,4,4,2,1,2,4,9,1,5,1
1,2,1,1,5,1,1,5,1,5,5,1,5,1,4,4,1,1,1,1,9,2,2,9
5,4,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,3,9
4,4,4,3,2,5,5,4,5,5,2,1,5,5,3,5,2,3,3,4,9,2,4,10
4,4,3,3,2,1,3,2,4,4,1,1,2,4,4,5,1,1,4,5,9,2,3,10
3,5,4,4,2,4,5,3,4,5,5,3,2,5,5,2,2,3,4,4,9,2,2,7
4,4,4,3,1,4,5,3,3,3,5,4,5,3,5,5,1,1,1,3,9,2,1,6
1,1,4,1,1,1,1,3,2,5,5,5,4,5,5,4,1,3,3,4,9,2,6,10
5,5,5,2,2,4,2,5,4,5,4,5,4,5,4,3,1,4,3,4,9,2,6,12
1,3,4,1,1,1,5,2,1,5,5,2,1,3,4,5,1,2,1,1,9,2,4,11
5,5,5,3,2,3,4,5,4,4,5,5,3,5,4,3,4,4,3,3,9,2,5,12
5,5,5,2,4,3,5,5,4,4,4,3,4,5,5,2,4,3,5,2,9,1,3,99
5,5,4,4,3,5,2,4,5,5,5,5,4,5,5,4,3,1,2,4,9,2,2,14
